external_source,model_uid,model,model_label,model_family,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
Clements et al. / Table 1,hybrid::resthybrid75,resthybrid75,75% ALESS,FSPS/ALESS hybrid,70,637.4980277507998,-0.1965943358101419,9.107114682154283
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T30_a20,casey_T30_a20,Casey T30K a=2.0,Casey-like template,88,819.9113109230293,-0.2875978608652725,9.317173987761697
Oliver et al. / Table 2,casey::casey_T45_a25,casey_T45_a25,Casey T45K a=2.5,Casey-like template,30,285.8905979733988,-0.7791779776048957,9.529686599113294
Clements et al. / Table 1,casey::casey_T35_a25,casey_T35_a25,Casey T35K a=2.5,Casey-like template,68,674.3833700360055,-0.2816868036084016,9.917402500529493
Pearson et al. / Table 4 XID,casey::casey_T35_a25,casey_T35_a25,Casey T35K a=2.5,Casey-like template,58,591.6577466613289,-0.5355773039288068,10.200995632091878
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T40_a30,casey_T40_a30,Casey T40K a=3.0,Casey-like template,30,310.0544091635246,-0.4816073120345987,10.335146972117487
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T25_a25,casey_T25_a25,Casey T25K a=2.5,Casey-like template,88,949.2981028598697,0.1912831820447048,10.787478441589428
Glenn et al. / Table 4 P(D) spline no FIRAS,mbb::mbb_T40,mbb_T40,MBB 40 K,modified blackbody,22,237.53909063309789,-0.2796519506164561,10.79723139241354
Clements et al. / Table 1,mbb::mbb_T40,mbb_T40,MBB 40 K,modified blackbody,68,734.9395153921678,-0.4186362768504307,10.807934049884821
Oliver et al. / Table 2,mbb::mbb_T50,mbb_T50,MBB 50 K,modified blackbody,28,302.7802004731105,-1.0224448989319297,10.813578588325374
Oliver et al. / Table 2,casey::casey_T40_a15,casey_T40_a15,Casey T40K a=1.5,Casey-like template,30,328.89700536212445,-0.9203596050952616,10.963233512070815
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T35_a30,casey_T35_a30,Casey T35K a=3.0,Casey-like template,88,992.0896838103122,-0.3886101233285989,11.273746406935366
Clements et al. / Table 1,casey::casey_T25_a25,casey_T25_a25,Casey T25K a=2.5,Casey-like template,68,778.411591258319,0.357061478705206,11.447229283210575
Pearson et al. / Table 3 SUSSEXtractor,hybrid::resthybrid75,resthybrid75,75% ALESS,FSPS/ALESS hybrid,88,1031.6659413594803,-0.3383649983782538,11.72347660635773
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T30_a15,casey_T30_a15,Casey T30K a=1.5,Casey-like template,22,259.5079916387156,-0.3898361828388755,11.795817801759801
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T25_a25,casey_T25_a25,Casey T25K a=2.5,Casey-like template,22,260.1340380862014,0.5512138450724177,11.824274458463698
