band_um,model,model_label,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,rms_log10_model_over_obs,mean_abs_log10_model_over_obs,area_scenario,area_deg2,external_source
350,resthybrid25,25% ALESS,13,57.217754941376825,4.4013657647212945,-0.021493162042272113,0.27596540208708165,0.22118109721714652,old_2deg2_counterfactual,2.0,Valiante et al. / Table 8 area-weighted GAMA9/12/15
350,resthybrid50,50% ALESS,13,124.31398827620298,9.562614482784845,0.08441627485297082,0.35294129299834986,0.3123922992140518,old_2deg2_counterfactual,2.0,Valiante et al. / Table 8 area-weighted GAMA9/12/15
350,resthybrid75,75% ALESS,13,245.45341427325587,18.88103186717353,-0.10275035956700085,0.48545304129014805,0.43407628440420076,old_2deg2_counterfactual,2.0,Valiante et al. / Table 8 area-weighted GAMA9/12/15
350,wang_raw,Wang raw,5,160.04674982759676,32.00934996551935,-0.6516748875226953,0.5786827998681786,0.5606588454184877,old_2deg2_counterfactual,2.0,Valiante et al. / Table 8 area-weighted GAMA9/12/15
all,aless,ALESS,13,328.08271781697135,25.237132139767027,-0.33024164833951747,,,old_2deg2_counterfactual,2.0,Valiante et al. / Table 8 area-weighted GAMA9/12/15
all,fsps_lirnorm,FSPS,13,102.31875064249174,7.870673126345518,0.28665258472873495,,,old_2deg2_counterfactual,2.0,Valiante et al. / Table 8 area-weighted GAMA9/12/15
all,resthybrid25,25% ALESS,13,57.217754941376825,4.4013657647212945,-0.021493162042272113,,,old_2deg2_counterfactual,2.0,Valiante et al. / Table 8 area-weighted GAMA9/12/15
all,resthybrid50,50% ALESS,13,124.31398827620298,9.562614482784845,0.08441627485297082,,,old_2deg2_counterfactual,2.0,Valiante et al. / Table 8 area-weighted GAMA9/12/15
all,resthybrid75,75% ALESS,13,245.45341427325587,18.88103186717353,-0.10275035956700085,,,old_2deg2_counterfactual,2.0,Valiante et al. / Table 8 area-weighted GAMA9/12/15
all,wang_raw,Wang raw,5,160.04674982759676,32.00934996551935,-0.6516748875226953,,,old_2deg2_counterfactual,2.0,Valiante et al. / Table 8 area-weighted GAMA9/12/15
500,aless,ALESS,13,211.91124750614657,16.300865192780506,-0.02052549465848763,0.6494501720554889,0.5661319831179121,old_2deg2_counterfactual,2.0,Valiante et al. / Table 9 area-weighted GAMA9/12/15
500,fsps_lirnorm,FSPS,13,163.3423812167531,12.564798555134853,0.6985161630057668,0.7202465624505507,0.606867733797822,old_2deg2_counterfactual,2.0,Valiante et al. / Table 9 area-weighted GAMA9/12/15
