external_source,paper,method_or_table,band_um,flux_mjy,flux_regime,model_label,observed_euclidean_jy15_deg2,model_euclidean_jy15_deg2,log10_model_over_obs,sigma_log,chi2_log
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,14.7,10-30 mJy,25% ALESS,3.8949460089472177,7.077370941044709,0.25937051662247546,0.09383295183431656,7.640652647996081
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,17.2,10-30 mJy,25% ALESS,4.143666160183844,6.745721201572794,0.21164362932600778,0.09305116269548791,5.173289619199879
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,20.0,10-30 mJy,25% ALESS,5.516154430834284,6.238571313381175,0.05344872766059683,0.09063397423710584,0.3477704640540637
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,23.3,10-30 mJy,25% ALESS,4.553062226316941,5.762875741363719,0.10233566964689422,0.09355202035236966,1.1965965038092716
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,27.2,10-30 mJy,25% ALESS,6.283988793927678,4.982667291911652,-0.10077351294772618,0.09196838133737897,1.2006480248461182
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,31.7,30-100 mJy,25% ALESS,6.6296154022301605,4.1824051070222215,-0.2000622386038423,0.09357876340084635,4.570625563443316
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,37.0,30-100 mJy,25% ALESS,5.725090917291388,3.4780522812219035,-0.2164462819560493,0.09848879847558849,4.829771467935496
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,43.1,30-100 mJy,25% ALESS,3.9293352785023976,2.8638751298647844,-0.13736500942665575,0.10947435303860609,1.5744448981042483
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,50.3,30-100 mJy,25% ALESS,2.497316003411896,2.345884303990729,-0.027166910782670306,0.1288416201050661,0.04445986694851495
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,58.6,30-100 mJy,25% ALESS,2.022512895183652,1.866424993343075,-0.034880757805014984,0.14877031078344857,0.054971714566784305
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,68.3,30-100 mJy,25% ALESS,1.6978858968616426,1.4839691996280044,-0.05848361388621276,0.17395974316022467,0.11302405558840527
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,79.7,30-100 mJy,25% ALESS,1.2788569821136484,1.4319746586747937,0.04911335351235621,0.21063597916556204,0.054366836955777424
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,350,92.9,30-100 mJy,25% ALESS,0.8011640193009352,1.462105686926084,0.2612573296571243,0.2780736178690912,0.882708670547834
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,500,11.0,10-30 mJy,25% ALESS,0.7099409429178659,4.338058848211343,0.7860732161266571,0.13815077277707472,32.37571441159783
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,500,13.1,10-30 mJy,25% ALESS,0.9755185792305604,3.928062194393166,0.6049428103458923,0.123009160083602,24.185425526604018
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,500,15.6,10-30 mJy,25% ALESS,1.2297294541776769,3.3558655820301344,0.435994981722788,0.11567192565893138,14.207152754218864
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,500,18.7,10-30 mJy,25% ALESS,1.7822696507281353,2.753287206264131,0.18887810492748258,0.10671384344469063,3.1327209366396267
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,500,22.3,10-30 mJy,25% ALESS,1.4991602299363296,2.182937502859375,0.1631932494740556,0.11216665720448671,2.1167853725813752
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,500,26.6,10-30 mJy,25% ALESS,2.342901440115107,1.8086239981727135,-0.11240573023398232,0.10568838598379258,1.131155655869721
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,500,31.7,30-100 mJy,25% ALESS,1.5055179100221612,1.578117165634441,0.020453317446793462,0.12093184541993579,0.02860527697707358
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,500,37.9,30-100 mJy,25% ALESS,1.5072518227728426,1.28199526505319,-0.07029939659147398,0.13036353794199115,0.29079766705003657
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,500,45.2,30-100 mJy,25% ALESS,1.6431713167290312,0.9653886872922859,-0.23098063993333517,0.14130359775935544,2.672050865445518
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,500,54.0,30-100 mJy,25% ALESS,0.6356716800970146,0.7865923153938114,0.09251683571483978,0.21086852620652893,0.19249436275465323
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,500,64.5,30-100 mJy,25% ALESS,0.6792121558363464,0.7027922330747756,0.014821503375194833,0.23195561070830684,0.004082956476760717
Pearson et al. / Table 3 SUSSEXtractor,Pearson et al.,Table 3 SUSSEXtractor,500,77.0,30-100 mJy,25% ALESS,0.1752215163049658,0.6171844531481911,0.5468275434230438,0.45760415757055484,1.4279757756784552
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,250,11.1,10-30 mJy,25% ALESS,5.598900600436245,7.223113785215601,0.11062169896881391,0.09634579509616976,1.3183026292840294
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,250,13.6,10-30 mJy,25% ALESS,6.765245910727903,7.495519838452442,0.0445181705081652,0.09814086807693378,0.2057665740991734
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,250,16.6,10-30 mJy,25% ALESS,8.97608099633278,7.546096523155738,-0.07536440679744794,0.09856205126039216,0.5846730871129227
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,250,20.2,10-30 mJy,25% ALESS,10.263703870685983,7.429046767648001,-0.14037102089768105,0.10164995229414989,1.9069555001259546
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,250,24.7,10-30 mJy,25% ALESS,6.3703954460032985,7.242185676364113,0.055703262883330606,0.12174868146645179,0.2093306092301738
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,250,30.1,30-100 mJy,25% ALESS,6.353152646982634,6.369707566965092,0.0011302041103156135,0.13355016207325807,7.161845138824642e-05
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,250,36.8,30-100 mJy,25% ALESS,8.572271982396323,5.578692559971224,-0.1865635137174524,0.13424060687000908,1.931459524601688
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,250,44.9,30-100 mJy,25% ALESS,6.123409207517356,4.864145890608738,-0.09998669061343035,0.16783685826180994,0.35490302880513075
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,250,54.9,30-100 mJy,25% ALESS,3.6720418919985143,4.121361846356549,0.050133119135228776,0.23420133057684792,0.04582165126625039
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,250,67.0,30-100 mJy,25% ALESS,2.4773760067790604,3.4038508151680222,0.1379785902958759,0.3206551908116594,0.18515986589968209
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,250,81.8,30-100 mJy,25% ALESS,3.342598469369057,2.3407514846441675,-0.1547289024599523,0.3238260366592045,0.22830707021087943
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,250,99.9,30-100 mJy,25% ALESS,2.2550498607472518,1.5033972242023168,-0.1760824048271431,0.45137746454708394,0.15217810663509107
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,350,11.0,10-30 mJy,25% ALESS,3.795535011241487,7.3945683542360925,0.28963982599392324,0.1051940854755201,7.581129427107205
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,350,13.1,10-30 mJy,25% ALESS,4.3469192659581575,7.331025794589605,0.2269831733529668,0.10827846207061707,4.394436259493298
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,350,15.6,10-30 mJy,25% ALESS,5.354707888048621,6.950017835848054,0.11325013509732007,0.10983453957409113,1.0631623535774064
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,350,18.7,10-30 mJy,25% ALESS,7.395137881655979,6.460169635531206,-0.05870235364359466,0.10864505165798101,0.291938335376179
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,350,22.3,10-30 mJy,25% ALESS,6.162518572893834,5.895671597063582,-0.019224956896083167,0.12179766701528268,0.0249145363895239
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,350,26.6,10-30 mJy,25% ALESS,5.2420998877404825,5.111400038970146,-0.010965420192505237,0.13902171889746623,0.00622135880184939
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,350,31.7,30-100 mJy,25% ALESS,5.469916757482782,4.1824051070222215,-0.11655462097910507,0.15059319772256313,0.5990295993203825
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,350,37.9,30-100 mJy,25% ALESS,4.756315332091256,3.3732388884967377,-0.1492235411024021,0.17574269814029642,0.7209748308867963
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,350,45.2,30-100 mJy,25% ALESS,3.877414224468106,2.695555526289605,-0.1578939168234026,0.21354892963412178,0.5466835407877199
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,350,54.0,30-100 mJy,25% ALESS,2.022898209128248,2.109405772940042,0.01818610032085033,0.32122911113023705,0.0032051574821533218
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,500,11.2,10-30 mJy,25% ALESS,2.3298970944849966,4.315756650440489,0.2677202086531278,0.11409124860625795,5.506271778989103
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,500,13.8,10-30 mJy,25% ALESS,3.079332716723938,3.7480019034214407,0.08534318654488615,0.11539273062122954,0.5469917901849293
Pearson et al. / Table 4 XID,Pearson et al.,Table 4 XID,500,17.0,10-30 mJy,25% ALESS,3.1614045869228558,3.105707805572602,-0.007719485510364388,0.1252155437424558,0.003800670545961254
