band_um,model,model_label,T_dust_K,alpha_mir,flux_mjy,bin_min_mjy,bin_max_mjy,N_bin,euclidean_jy15_deg2,euclidean_err_jy15_deg2
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,8.493232323171238,7.118229794928693,10.133839082682117,1203,2.075115197513033,0.059828676731086175
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,12.091355875609787,10.133839082682117,14.426999059072134,549,1.6086143097143883,0.0686539857437465
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,17.21380993097034,14.426999059072134,20.5389389107391,223,1.109909186274823,0.07432501651340928
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,24.5063709469745,20.5389389107391,29.240177382128667,118,0.9976256108028457,0.09183888154704112
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,34.888395968065744,29.240177382128667,41.62766037009365,28,0.40211161077057167,0.07599195152789531
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,49.66872393543112,41.62766037009365,59.26305046791458,12,0.29273377115306304,0.08450496078805762
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,70.71067811865476,59.26305046791458,84.36960231581453,8,0.3315007902988001,0.11720322839449061
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,100.66697116076413,84.36960231581453,120.11244339814311,3,0.2111634920491941,0.1219152989776236
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,143.3141266963557,120.11244339814311,170.99759466766963,0,,
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,204.02857733683695,170.99759466766963,243.4400346449093,0,,
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,290.4644596431972,243.4400346449093,346.5724215775732,0,,
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,413.5185542000137,346.5724215775732,493.39642747481366,0,,
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,588.7040186524744,493.39642747481366,702.4218301525182,1,0.9954342477801108,0.9954342477801109
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,838.10609719326,702.4218301525182,1000.0,0,,
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,5.9658317923524695,5.000000000000001,7.118229794928693,6586,6.687985310090552,0.08241086020509034
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,8.493232323171238,7.118229794928693,10.133839082682117,5011,8.643725897537664,0.12210650057997773
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,12.091355875609787,10.133839082682117,14.426999059072134,3123,9.150642056899882,0.16374406790408252
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,17.21380993097034,14.426999059072134,20.5389389107391,1738,8.650323613209158,0.20749492016636678
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,24.5063709469745,20.5389389107391,29.240177382128667,812,6.865016915016192,0.24091486457813788
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,34.888395968065744,29.240177382128667,41.62766037009365,325,4.66736691072985,0.2588989341236989
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,49.66872393543112,41.62766037009365,59.26305046791458,116,2.8297597878129426,0.2627366003788734
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,70.71067811865476,59.26305046791458,84.36960231581453,37,1.5331911551319504,0.2520550732492236
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,100.66697116076413,84.36960231581453,120.11244339814311,28,1.9708592591258116,0.37245739062542177
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,143.3141266963557,120.11244339814311,170.99759466766963,9,1.0760763576875558,0.35869211922918526
