band_um,model,model_label,T_dust_K,alpha_mir,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,external_source
250,casey_T45_a30,Casey T45K a=3.0,45,3.0,13,463.7876769993899,35.67597515379922,-0.8125417779561467,Clements et al. / Table 1
350,casey_T45_a30,Casey T45K a=3.0,45,3.0,12,273.12748053264505,22.76062337772042,-0.7637737433226415,Clements et al. / Table 1
500,casey_T45_a30,Casey T45K a=3.0,45,3.0,9,29.43918704835934,3.271020783151038,-0.3044082384064153,Clements et al. / Table 1
all,casey_T45_a30,Casey T45K a=3.0,45,3.0,34,766.3543445803944,22.539833664129247,-0.7637737433226415,Clements et al. / Table 1
250,casey_T25_a15,Casey T25K a=1.5,25,1.5,4,21.94328961871124,5.48582240467781,-0.15728763109564076,Glenn et al. / Table 4 P(D) spline no FIRAS
350,casey_T25_a15,Casey T25K a=1.5,25,1.5,4,10.664287969310971,2.6660719923277427,0.05876461463731952,Glenn et al. / Table 4 P(D) spline no FIRAS
500,casey_T25_a15,Casey T25K a=1.5,25,1.5,3,10.559131946818251,3.519710648939417,0.16362824071682258,Glenn et al. / Table 4 P(D) spline no FIRAS
all,casey_T25_a15,Casey T25K a=1.5,25,1.5,11,43.166709534840464,3.924246321349133,0.05876461463731952,Glenn et al. / Table 4 P(D) spline no FIRAS
250,casey_T25_a20,Casey T25K a=2.0,25,2.0,4,18.934007299397535,4.733501824849384,0.09925799417056677,Glenn et al. / Table 4 P(D) spline no FIRAS
350,casey_T25_a20,Casey T25K a=2.0,25,2.0,4,24.795349038016813,6.198837259504203,0.40463828012085984,Glenn et al. / Table 4 P(D) spline no FIRAS
500,casey_T25_a20,Casey T25K a=2.0,25,2.0,3,24.65540808909051,8.21846936303017,0.44797633566014256,Glenn et al. / Table 4 P(D) spline no FIRAS
all,casey_T25_a20,Casey T25K a=2.0,25,2.0,11,68.38476442650486,6.2167967660458965,0.40463828012085984,Glenn et al. / Table 4 P(D) spline no FIRAS
250,casey_T25_a25,Casey T25K a=2.5,25,2.5,4,36.84631134229514,9.211577835573785,0.23656734632461873,Glenn et al. / Table 4 P(D) spline no FIRAS
350,casey_T25_a25,Casey T25K a=2.5,25,2.5,4,47.412449409539825,11.853112352384956,0.5512138450724177,Glenn et al. / Table 4 P(D) spline no FIRAS
500,casey_T25_a25,Casey T25K a=2.5,25,2.5,3,45.808258291265716,15.269419430421905,0.5693134359135694,Glenn et al. / Table 4 P(D) spline no FIRAS
all,casey_T25_a25,Casey T25K a=2.5,25,2.5,11,130.0670190431007,11.824274458463698,0.5512138450724177,Glenn et al. / Table 4 P(D) spline no FIRAS
250,casey_T25_a30,Casey T25K a=3.0,25,3.0,4,51.0717961236998,12.76794903092495,0.3336141898146048,Glenn et al. / Table 4 P(D) spline no FIRAS
350,casey_T25_a30,Casey T25K a=3.0,25,3.0,4,72.23785189963908,18.05946297490977,0.6423287978575434,Glenn et al. / Table 4 P(D) spline no FIRAS
500,casey_T25_a30,Casey T25K a=3.0,25,3.0,3,62.82616774205982,20.942055914019942,0.6894802801664777,Glenn et al. / Table 4 P(D) spline no FIRAS
all,casey_T25_a30,Casey T25K a=3.0,25,3.0,11,186.13581576539872,16.92143779685443,0.6423287978575434,Glenn et al. / Table 4 P(D) spline no FIRAS
250,casey_T30_a15,Casey T30K a=1.5,30,1.5,4,59.86597320891685,14.966493302229212,-0.3898361828388755,Glenn et al. / Table 4 P(D) spline no FIRAS
350,casey_T30_a15,Casey T30K a=1.5,30,1.5,4,39.263905362603374,9.815976340650844,-0.1691754269580263,Glenn et al. / Table 4 P(D) spline no FIRAS
500,casey_T30_a15,Casey T30K a=1.5,30,1.5,3,30.624117247837596,10.208039082612531,-0.48817593657540365,Glenn et al. / Table 4 P(D) spline no FIRAS
all,casey_T30_a15,Casey T30K a=1.5,30,1.5,11,129.7539958193578,11.795817801759801,-0.3898361828388755,Glenn et al. / Table 4 P(D) spline no FIRAS
250,casey_T30_a20,Casey T30K a=2.0,30,2.0,4,19.50827940872532,4.87706985218133,-0.15343857078909948,Glenn et al. / Table 4 P(D) spline no FIRAS
350,casey_T30_a20,Casey T30K a=2.0,30,2.0,4,14.072695614380628,3.518173903595157,0.016466111283464174,Glenn et al. / Table 4 P(D) spline no FIRAS
500,casey_T30_a20,Casey T30K a=2.0,30,2.0,3,14.536178571393606,4.845392857131202,-0.1540802326679191,Glenn et al. / Table 4 P(D) spline no FIRAS
all,casey_T30_a20,Casey T30K a=2.0,30,2.0,11,48.117153594499555,4.3742866904090505,-0.15343857078909948,Glenn et al. / Table 4 P(D) spline no FIRAS
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,4,5.7098147760615126,1.4274536940153781,0.02373052231525924,Glenn et al. / Table 4 P(D) spline no FIRAS
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,4,8.027348991297433,2.0068372478243584,0.20894628992688988,Glenn et al. / Table 4 P(D) spline no FIRAS
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,3,9.935598268577596,3.3118660895258656,0.1438325532760379,Glenn et al. / Table 4 P(D) spline no FIRAS
all,casey_T30_a25,Casey T30K a=2.5,30,2.5,11,23.672762035936543,2.152069275994231,0.1438325532760379,Glenn et al. / Table 4 P(D) spline no FIRAS
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,4,15.700888353788988,3.925222088447247,0.09962503536737266,Glenn et al. / Table 4 P(D) spline no FIRAS
350,casey_T30_a30,Casey T30K a=3.0,30,3.0,4,15.520118668319949,3.880029667079987,0.3139087072321755,Glenn et al. / Table 4 P(D) spline no FIRAS
500,casey_T30_a30,Casey T30K a=3.0,30,3.0,3,6.540831840877772,2.1802772802925907,0.24694269641446517,Glenn et al. / Table 4 P(D) spline no FIRAS
all,casey_T30_a30,Casey T30K a=3.0,30,3.0,11,37.76183886298671,3.4328944420897005,0.24694269641446517,Glenn et al. / Table 4 P(D) spline no FIRAS
250,casey_T35_a15,Casey T35K a=1.5,35,1.5,4,108.54929111167677,27.13732277791919,-0.6407548126573123,Glenn et al. / Table 4 P(D) spline no FIRAS
350,casey_T35_a15,Casey T35K a=1.5,35,1.5,4,88.52723242104177,22.131808105260443,-0.5246577833334876,Glenn et al. / Table 4 P(D) spline no FIRAS
