band_um,model,model_label,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,rms_log10_model_over_obs,mean_abs_log10_model_over_obs,area_scenario,area_deg2,external_source,sky_field,survey_family,score_set
500,aless,ALESS,13,211.91124750614657,16.300865192780506,-0.02052549465848763,0.6494501720554889,0.5661319831179121,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
500,fsps_lirnorm,FSPS,13,163.3423812167531,12.564798555134853,0.6985161630057668,0.7202465624505507,0.606867733797822,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
500,resthybrid25,25% ALESS,13,79.83442191783456,6.141109378294966,0.5293150408639327,0.544788873462786,0.481316308949859,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
500,resthybrid50,50% ALESS,13,108.32045788347601,8.33234291411354,0.3807811022302162,0.5809398519685582,0.5368009533143963,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
500,resthybrid75,75% ALESS,13,147.2947710588305,11.330367004525423,0.22547549456679306,0.5402696875325123,0.48092131706352487,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
500,wang_raw,Wang raw,4,130.22473430762938,32.556183576907344,-0.7569858424992284,0.7458754360242165,0.728085540801187,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
all,aless,ALESS,39,920.0761496720421,23.591696145436977,-0.33024164833951747,,,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
all,fsps_lirnorm,FSPS,39,299.0549758563467,7.668076304008889,0.28665258472873495,,,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
all,resthybrid25,25% ALESS,39,185.84526314120905,4.765263157466898,-0.021493162042272113,,,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
all,resthybrid50,50% ALESS,39,358.2468982790038,9.185817904589841,0.08441627485297082,,,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
all,resthybrid75,75% ALESS,39,649.0080868073879,16.64123299506123,-0.10275035956700085,,,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
all,wang_raw,Wang raw,18,500.095385599754,27.78307697776411,-0.6252300500047778,,,old_2deg2_counterfactual,2.0,Valiante H-ATLAS DR1,H-ATLAS DR1 GAMA9+GAMA12+GAMA15,H-ATLAS,clean_independent
